ticker,company_name,sector,industry,market_cap,enterprise_value,total_revenue,ebitda,net_income,total_cash,total_debt,book_value,current_ratio,debt_to_equity,return_on_assets,return_on_equity,gross_margins,operating_margins,profit_margins,revenue_growth,earnings_growth,trailing_pe,forward_pe,price_to_book,beta,shares_outstanding
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,69862342656,79103016960,117841002496,9203000320.0,4196000000,5733000192,11491000320,79.364,1.576,42.664,0.06487,0.1585,0.14563,0.060510002,0.03569,0.066,,17.19883,12.613256,2.9645684,0.571,296932782
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,107944714240,103279689728,12218000384,4981199872.0,4338299904,7246700032,1986499968,76.179,3.023,10.26,0.12142,0.24197,0.54390997,0.38126,0.35507,0.078,0.614,25.240652,19.6957,5.5829687,0.301,253805417
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,196835753984,391921500160,139146002432,51101999104.0,17340000256,8400999936,200921006080,24.77,0.64,192.045,0.0508,0.17198,0.58909,0.25186002,0.12462,0.029,0.043,11.496342,8.937595,1.9029067,0.224,4176000000
WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,36706025472,59823685632,10084800512,3930099968.0,1637699968,45600000,22317799424,41.829,0.679,153.184,0.03041,0.11679,0.41764,0.28535998,0.16239001,0.09,0.079,22.583168,18.769749,2.6940641,,325725678
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,241075601408,271389442048,81135001600,,20668999680,461199998976,469223997440,53.194,,,0.01051,0.12028,0.0,0.29447,0.26742,0.057,0.151,12.175889,10.02567,1.4809564,0.96,3060189494
WM,"Waste Management, Inc.",Industrials,Waste Management,88862687232,111289483264,25412999168,7662000128.0,2793999872,158000000,22890999808,24.793,0.934,228.408,0.065960005,0.29936,0.40605,0.1752,0.10994001,0.035,0.133,32.07029,23.934372,8.925302,0.495,401575752
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,89107652608,121765355520,12108999680,6821000192.0,2788999936,950000000,30301999104,10.452,0.829,199.855,0.048860002,0.19656,0.63506,0.33609,0.23056999,0.09,0.25,31.95614,28.072529,6.970915,0.633,1222998265
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,1038859239424,1101312163840,713163014144,44027998208.0,21892999168,10727000064,68425998336,12.501,0.79,64.443,0.06834,0.21847,0.24927,0.04567,0.0307,0.056,-0.19,47.739925,39.66305,10.425566,0.652,7970990515
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,50135089152,87759912960,14784000000,6060000256.0,2091000064,1768000000,39243001856,37.859,0.77,164.845,0.02338,0.0959,0.45928,0.18155001,0.14144,0.029,0.06,23.14409,17.72836,2.121292,0.421,624269560
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,606115594240,662153199616,326008012800,56007000064.0,25314000896,8434999808,47660998656,62.069,1.036,18.261,0.04221,0.09873,0.29768,0.06355,0.077649996,0.026,-0.434,24.659359,14.348781,2.3559263,0.183,4144947162
ZM,"Zoom Communications, Inc.",Technology,Software - Application,31857137664,23219896320,4868768768,1274663936.0,1900147968,7816907776,58475000,33.189,4.331,0.596,0.06219,0.20275,0.7739,0.21499,0.39027,0.053,0.915,17.489483,17.607147,3.2566514,1.003,266044474
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,36640641024,53950042112,9466999808,4065999872.0,2672999936,2312000000,9313000448,7.839,3.028,279.586,0.15255,0.65992,0.71892,0.34688,0.28235,0.03,0.061,14.418588,11.461107,11.072827,0.863,420517197
