sector,industry,country,annual_revenue,ebitda,net_income,total_cash,total_debt,total_assets,total_liabilities,shareholders_equity,gross_margin,operating_margin,net_margin,revenue_growth,employee_count,company_age_years,free_cash_flow,operating_cash_flow,capex,customer_count,recurring_revenue_ratio,enterprise_value
Consumer,Healthcare Services,Singapore,437785610.8189497,52889638.46232135,48085628.616709165,39702734.04449802,62705928.75005709,676491121.8363152,296390144.85155207,380100976.9847631,0.7470859619142638,0.18491949539580482,0.10983830310630155,0.2758553772471531,3364,31.92841377671489,26052889.687570382,51889250.35436399,7500401.82110761,4513,0.5876299139075986,1870386192.7114587
Industrials,Business Services,UK,22742161.951990772,6593945.003650967,829643.8348762668,2533415.1185899233,19685328.920395076,20727245.92121796,8862118.90564495,11865127.01557301,0.48384829069141183,0.1125139898057168,0.03648042946082541,-0.02961580697004558,2176,6.240813993470614,3905278.362524692,4815322.140508862,1338905.6864324734,2251,0.27186441190527466,71588554.72572757
Industrials,Logistics,UK,5822050.299026264,454222.349197551,920130.3957912201,561036.5943394527,40653388.46503001,9502479.254931731,3483106.0284575843,6019373.226474147,0.4372298610805473,0.20611622750531688,0.15804233019854047,0.28648148248598254,2658,14.254636756773733,236759.5052503473,426937.9849844008,336678.0197766407,1309,0.2054275879170785,17764758.308231674
Energy,Healthcare Services,Germany,233080954.59358528,53116704.62570903,10272493.433671763,2845013.9902713518,11056429.73108246,550537081.661327,112656342.96257636,437880738.6987506,0.3035770861462435,0.056256702580328916,0.04407264184919585,-0.005748212975118704,261,25.56567289187526,27664213.121069953,52299027.41405654,11960240.770765714,3440,0.004267253620686529,663769317.8826612
Energy,Software,Germany,85558025.62195401,20810650.49565891,13422227.272740498,13086042.445830787,73503494.47221448,134546637.28904912,67503693.05207372,67042944.2369754,0.741557243489704,0.12230721572783987,0.1568786466864937,0.2752637383280451,759,32.37011384517666,14575092.011432553,16818706.7250018,3335208.1160599315,1598,0.2858720709272055,276621936.1223307
Technology,Healthcare Services,UK,14421903.169655858,1317757.2623847532,1961801.84476283,35550516.1663376,59086430.916590616,19313241.48650063,12457228.648799246,6856012.837701382,0.5266068014156462,0.07520526834932531,0.136029331336139,0.007487464582213645,1745,28.337626223328655,641051.969069879,1256674.4045015867,1145448.313755162,1332,0.01492182170780123,40747664.10771745
Industrials,Healthcare Services,UK,67820437.88166401,18604878.918958947,10909653.150761418,27041920.449013073,49743362.38886052,85753397.72245865,19316797.352394935,66436600.37006371,0.5270121848899754,0.10895103864055261,0.16086084802043074,0.21544841866414077,4884,2.690100668745834,12983542.891775552,15174888.461863944,4826929.4199476205,4182,0.22829805590564564,251613147.9435227
Consumer,Business Services,India,340422277.98189807,78788151.98407441,37688166.48070368,38041900.74064533,78673366.079435,514978246.738492,235495188.27837497,279483058.46011704,0.20685843286766728,0.2092057112620757,0.1107100472511019,0.1580920268183975,1992,17.502534353701478,35221138.856293544,90198899.07113658,12817071.292995388,808,0.13443674073133569,1261935733.53526
Financial Services,Software,India,103773286.48524773,27473532.942905698,17227739.41759842,11001296.67240342,37584071.05398623,212417829.86153373,135773837.47271878,76643992.38881496,0.40847898227051793,0.15340389736988586,0.16601323906270898,0.24668656420789398,3270,31.752484940991227,18818460.948024288,20668546.214229617,7604312.415103409,3658,0.7790152853889254,485006469.3819742
Industrials,Retail,India,373082180.7282877,20812398.27363724,65914645.497185044,19168661.677606195,57545002.69526589,861398571.898279,342246525.42008495,519152046.478194,0.37552286872981633,0.17174822577964935,0.17667594139316473,0.18239574949922027,1037,17.547319149742293,14587147.25452468,24302443.592125144,15943599.078983948,347,0.3394853845947035,1124016899.8791912
Industrials,Healthcare Services,Germany,85621392.77450468,18934359.179867566,6363077.156502449,47767470.39686248,19487739.628688592,82896205.86082967,47810575.857937865,35085630.0028918,0.6845698285548285,0.10562267137429758,0.07431644067342444,0.030835240658191182,4878,21.83646745192747,12008328.137543792,15710214.982593833,1126958.8912270698,936,0.43334220629365267,357026802.71735364
Energy,Healthcare Services,India,59792576.64465998,6763082.894877963,4015898.5685387966,38357775.8540581,70136863.78116955,139483593.69591576,96562302.59868386,42921291.097231895,0.740301675707493,0.2405998265535963,0.06716383193192683,-0.021271143798846252,2487,7.236154365256597,3734799.3365876684,6603806.388750198,1003824.8154747771,4084,0.5550805611695782,190671910.59871858
Financial Services,Business Services,Germany,130361459.82809769,11742700.39257629,20376709.21673652,29419279.0730303,58810354.201570675,169894337.34474966,65515727.85175177,104378609.49299788,0.4226702304345936,0.20200299434880697,0.15630930524716777,0.2589411950698272,234,37.778476556047764,5405489.896213717,13481336.839339525,2219755.203191525,1041,0.23808583003617997,435876918.8502268
Healthcare,Retail,UK,227680353.47234246,25344180.091164142,30427027.62820084,42641065.14540909,69966011.18844575,313481159.1177736,145902030.2832903,167579128.8344833,0.33662352212610835,0.09895930031002909,0.13363923221375784,0.014501625140769636,2079,37.72072241068556,21390346.43202651,27591685.67682123,10527098.604930874,1418,0.4767710995642482,708813989.0691906
Financial Services,Business Services,Singapore,70218642.28157339,5716918.397153669,12102881.991183138,24360522.599524353,76256441.99241512,75701362.46974562,36125316.67654992,39576045.7931957,0.3142444893433466,0.10063692122532031,0.17235995453530933,-0.037978168495528486,1913,36.840239489909436,3205856.296010066,5740155.417728113,2987872.692117912,603,0.3604061207207505,201046941.0126063
Healthcare,Healthcare Services,Singapore,410062395.0084122,96530187.86821291,38956537.5027284,8067417.545253631,73653268.66188543,566032913.4149938,127387600.45836699,438645312.9566268,0.3883220222458458,0.2088914060991769,0.0950014875222324,0.19908349799528324,4943,30.531866220304668,76916961.49883343,77801140.72131842,30617239.8847029,2659,0.5751122843377482,1352375302.7351608
Technology,Retail,Singapore,144043711.0522568,9437135.598981727,13442436.636613604,6886987.830511066,12186136.812606057,270064785.64163935,107070883.01689965,162993902.6247397,0.7070188475852472,0.11383129892161402,0.09332192664584224,0.24047205135356042,3603,27.078149442912594,6604557.439296951,8836858.149263183,11019959.916247692,2310,0.30844227847946026,418241150.9667449
Financial Services,Business Services,Germany,24925601.27026226,4048121.340938064,4057838.792087461,37606121.636681944,79344617.31981026,42458355.937761195,22502837.760681152,19955518.177080043,0.36636415462586047,0.23950711993319845,0.1627980303499722,0.0965341954226145,4233,30.063407082091885,2435228.768217517,3970840.538922153,1505126.8855498177,2951,0.8163776942185577,91907168.27694823
Consumer,Software,USA,174469404.4835268,26526182.93473766,15773432.94189764,6727447.40645812,7337894.324720535,337551691.55011034,178145899.019422,159405792.53068835,0.5646003428155524,0.053953289068538336,0.09040801731736839,0.08061873706871196,4028,31.56975405667247,22025092.90721029,21840072.460671797,9901041.196867542,997,0.116426523112447,468748407.9805021
Healthcare,Manufacturing,UK,338994590.93789256,94098704.18139595,17764531.951560482,27332912.2300606,56111288.09947459,820356128.8299589,414304653.8127204,406051475.0172385,0.34030881206505936,0.17509563138278728,0.05240358526786976,0.07819646467120646,1431,39.0928788462849,56443984.878121726,98118023.09378673,3941127.643707018,2700,0.7875968519902605,1399229459.4671822
Consumer,Business Services,Germany,468289062.22068435,123392338.77530974,33508193.360789634,27455145.90104631,39185940.487397015,877922226.8275611,322246299.11381644,555675927.7137446,0.33431275042123854,0.23253436705110725,0.07155450781167012,0.3195497997994025,1593,39.17176836905333,95320058.87699503,133551676.00126655,29680772.553884774,4218,0.4325468678480759,1856493575.0212834
Technology,Business Services,India,148213467.3706556,16963342.94835791,16859848.067421135,20794128.21713964,17508528.703570575,324186609.9762834,204329944.38706043,119856665.58922294,0.29223473582277953,0.051501406559999977,0.11375381985536877,0.08445198741174946,3231,32.3054117558686,13902934.2224593,13047601.791903531,9515825.291381052,3028,0.3510563311408763,527928636.3864475
Industrials,Retail,Germany,81211973.37592508,12644711.00632687,9676160.080792602,46678588.72945604,78465691.64264274,74584189.69280286,20063054.444066584,54521135.24873628,0.6349058856427967,0.1041264304541721,0.11914696415517784,0.30393962380254425,1133,6.250102490465733,10321430.508614764,9966285.434090849,3219622.503987816,3320,0.496966435703397,308147551.96301717
Consumer,Business Services,Germany,496060792.7363872,148746545.7787854,50912457.56474327,5212354.804562767,58227463.91749747,1220472720.8804758,438348880.39491683,782123840.485559,0.4536648872106656,0.13495538496309117,0.10263350442170256,-0.029432338177228262,3270,27.546048386490902,85777499.12895034,162688847.68365702,33855358.02110097,4531,0.3749993982358921,1596142047.3362818
Technology,Software,India,401687769.75214785,69417415.49137819,65428897.564166844,7623480.455888635,70325502.37271681,386970691.489408,107099077.01325476,279871614.47615325,0.4936120073006782,0.06350369603748302,0.16288496312580847,-0.028877159439955863,1148,18.580033068382,54653160.10515464,49801384.96217227,22357150.924681533,12,0.7408145856745678,1273479319.6462793
Consumer,Manufacturing,India,412446681.9252969,76193519.90792054,62309137.16625088,5091425.83251249,31558521.435100354,847271007.2529708,278519991.89842683,568751015.3545439,0.613780902938454,0.15083572087816277,0.15107198068703684,0.25010639517929323,4306,19.657826238578522,44493371.298618935,61685862.900227465,10140642.576218503,3246,0.10701931323056445,1188580683.8312747
Consumer,Healthcare Services,USA,91796523.16969134,23479430.65052035,7688974.062597987,49524228.63934388,10976900.62324899,175424780.91347745,74444093.92779154,100980686.98568591,0.41610499718339067,0.2250168398108165,0.08376105975587399,0.34023825833135984,4779,9.307425803335056,11983876.99961025,24137722.02827945,2775545.970684847,4365,0.6612526177025219,443162484.206616
Financial Services,Manufacturing,India,356713722.0126255,20205849.469371475,9957114.904074617,30277143.396572776,38895366.04978204,443150420.20065045,181393894.54668736,261756525.6539631,0.6168506753030734,0.215322296931586,0.02791346194336251,0.17448922715601767,4146,16.644040272569914,10817168.795056833,19416997.656384077,11426422.775937073,2257,0.608987144258674,1061577369.1350998
Financial Services,Business Services,India,110077183.72616777,30120185.80619833,13584242.408033004,9012037.420882631,71221116.9458895,176005171.83069712,77098340.08684248,98906831.74385464,0.7145480691134602,0.061897338436668004,0.12340652211656947,0.036071309851487404,2381,9.428487364116155,22281814.21133136,24308379.831587024,1864816.2421851908,2932,0.18628664367675576,341905258.1213857
Technology,Software,Singapore,430839533.6783757,56051922.13134872,33485447.35675915,3235885.270310768,28589569.880164333,538623608.2889583,272135556.54687256,266488051.74208575,0.3129646637198237,0.22767309061256813,0.07772138984292058,0.32186664836782203,690,5.793580172718027,25430839.92382148,42468479.756285556,22993840.39969726,2042,0.7671440861372397,1896345211.3223045
Financial Services,Business Services,USA,265399960.80858034,79399521.25942613,7183850.510586872,20362615.72721261,25914933.515010893,640329781.552135,312756582.0807864,327573199.4713486,0.6434050309945989,0.08406823873170377,0.027068016471065805,0.34145365756017554,1643,20.75953889828454,70303699.82608019,70694648.4859044,10039218.423698558,2498,0.526277432524443,1005003566.8055503
Financial Services,Logistics,USA,56125322.157989554,14959427.374332862,6414730.692223513,18254303.180631604,32693550.189337026,86072800.99511233,44463021.976502314,41609779.018610016,0.7097231653189464,0.23655592393139652,0.11429298658039617,0.10659679181226535,982,14.511973464715243,9357469.630717313,14719584.598779332,2375630.755671187,1463,0.4989591210417873,195341215.76228023
Energy,Healthcare Services,Singapore,192403429.8420668,14172425.49476352,8960231.804049464,36294133.20619661,31127736.921766404,224095401.9377734,107865230.39108892,116230171.54668449,0.615546748360385,0.10148447246907429,0.0465700211862357,0.2807159527694978,4853,24.700992104805948,10409275.626382725,10293262.499167917,14658523.199576508,4638,0.35323626083844945,736564049.0260576
Industrials,Software,UK,24078289.66510068,5299744.757380592,2649259.1408751593,1813355.6417006801,59476796.89779083,54143575.578698784,24267623.85525979,29875951.723438993,0.45616659219649025,0.0510946217669255,0.1100268822131093,0.2646598849974397,43,14.567210536352006,4448509.346411889,4698384.276714471,1193210.569737127,300,0.14452948132642682,84786903.49957645
Technology,Software,Singapore,270561522.25736415,78829178.60925896,47124454.1039382,42854285.02426897,15008743.421202686,489787669.9764665,313010424.5042284,176777245.47223806,0.40595516504691576,0.070221233187117,0.17417278595554458,0.2743851608959687,2536,23.446921853648785,70242485.52095574,79113414.1804817,10754430.08854103,2414,0.33298593106247804,1050130962.1867117
Financial Services,Healthcare Services,India,419669844.80258536,50821717.57230989,28792481.64799595,43779545.688573256,1917628.4422364365,707050376.750711,305331119.7279974,401719257.02271354,0.5795697232681529,0.0826783400298909,0.06860745894559106,0.2173322963180615,3977,16.315892299245306,36050760.88589992,36594050.934523515,17760807.13087476,4805,0.19289376256948795,1223443918.0755124
Industrials,Retail,UK,175349833.64135727,13011402.57592329,30084975.64664326,20547206.044042956,64717568.20053992,430748463.6516104,103537991.64215331,327210472.00945705,0.5584182073642467,0.22428181734824282,0.17157116731673672,0.20369377358669133,1811,18.380901590241656,5438108.4593037795,12585934.599354204,13948730.280561222,2150,0.8628367733747407,578733604.295404
Energy,Healthcare Services,USA,451979630.93603766,27696718.07566511,76718957.61545096,41955049.31749496,9400350.58020812,407550653.9816622,251602958.0363067,155947695.9453555,0.2856667190360187,0.1569796305951741,0.16973985632177288,0.3162979431514838,1522,23.563028314874288,16579716.610845294,25550444.758183446,6516733.595792753,869,0.2795887665729745,1390785958.4038043
Energy,Manufacturing,USA,482364731.47128206,35488303.29162146,76584318.34711824,35538272.772871666,66401534.33272225,1186147328.682202,736689213.2257491,449458115.45645297,0.7188602932028192,0.07538705135818397,0.15876848648018901,0.268315426066788,1515,22.652832613034704,30145922.084571004,42085646.632180214,28622887.704490315,2732,0.43464455052460554,1638647972.31478
Energy,Manufacturing,India,198795886.63379353,14400437.826692881,6438953.768963686,39103557.27167943,35685831.43361809,473564331.03716385,239675882.3982792,233888448.63888466,0.21934679020143089,0.0815046682634959,0.032389773641670117,0.03232791720520302,1820,39.0779689268071,7334893.43624295,13793860.253760027,15015527.488344133,4356,0.21272439184519013,467276634.9033239
Industrials,Retail,India,36347596.95776625,3590454.165866876,4033534.792346288,45666215.41663427,42977510.6955472,67758544.9475502,20390824.6103218,47367720.3372284,0.6403209913706176,0.17355778170111663,0.11097115435259768,0.2956547316770899,3131,15.220229478750507,1598791.6453761845,2918911.70017795,1477490.1828156498,4744,0.851124286642026,144760786.4288917
Healthcare,Healthcare Services,UK,95490341.36333339,12431269.694599936,11889569.399520775,33806243.03690223,34780779.74472369,113509132.39469841,63673332.58510704,49835799.80959137,0.29288017288699314,0.23733393837302535,0.12451070160365099,0.025161431614590668,2711,6.077869787635777,8065704.278340985,11931219.373131262,4351829.457375474,4684,0.8953334035466475,347122506.4578512
Consumer,Healthcare Services,USA,213774201.04370785,14260115.632297402,24556896.833286595,11784404.72504753,51008718.41832399,189493061.44931272,130881635.4315115,58611426.01780121,0.4579527934569697,0.22935107431813967,0.11487306098393857,0.1402244692931739,3591,33.244114751564666,10325633.72093253,15556053.88999212,8544958.944219276,311,0.5741430698219805,789408408.8726299
